setup_id,symbol,timestamp,squeeze_score,conditions,adx,h4_trend_bias,d1_trend_bias,h4_bar_time,d1_bar_time,data_warning,anchor_range_pct,cluster_id
EURUSD_setup_000083_202509040100,EURUSD,2025-09-04 01:00:00,2,ADX<20+ADX<13,12.794542748807398,neutral,neutral,2025-09-04 00:00:00,2025-09-04,,0.6347626931094,EURUSD_20250904_01
EURUSD_setup_000084_202509040700,EURUSD,2025-09-04 07:00:00,4,BB+SR+ADX<20+ADX<13,10.013520411967765,bearish,neutral,2025-09-04 04:00:00,2025-09-04,,0.3733809429800156,EURUSD_20250904_07
EURUSD_setup_000085_202509041300,EURUSD,2025-09-04 13:00:00,3,BB+SR+ADX<20,13.289636174317161,bearish,neutral,2025-09-04 12:00:00,2025-09-04,,0.4060469228854332,EURUSD_20250904_13
EURUSD_setup_000086_202509041900,EURUSD,2025-09-04 19:00:00,3,BB+SR+ADX<20,18.698373713636446,bearish,neutral,2025-09-04 16:00:00,2025-09-04,,0.3398966576828821,EURUSD_20250904_19
EURUSD_setup_000087_202509050100,EURUSD,2025-09-05 01:00:00,3,BB+SR+ADX<20,16.52744085243268,neutral,neutral,2025-09-05 00:00:00,2025-09-05,,0.26905675897999576,EURUSD_20250905_01
EURUSD_setup_000088_202509081200,EURUSD,2025-09-08 12:00:00,2,BB+SR,30.767512108035337,bullish,neutral,2025-09-08 12:00:00,2025-09-08,,0.4754034113176614,EURUSD_20250908_12
EURUSD_setup_000089_202509091000,EURUSD,2025-09-09 10:00:00,2,BB+SR,34.85579208093044,bullish,bullish,2025-09-09 08:00:00,2025-09-09,,0.38455975565141864,EURUSD_20250909_10
EURUSD_setup_000090_202509101000,EURUSD,2025-09-10 10:00:00,2,BB+SR,23.750472538389474,neutral,bullish,2025-09-10 08:00:00,2025-09-10,,0.6863306523987369,EURUSD_20250910_10
EURUSD_setup_000091_202509101600,EURUSD,2025-09-10 16:00:00,3,BB+SR+ADX<20,18.88194224973317,neutral,bullish,2025-09-10 16:00:00,2025-09-10,,0.4126335933295269,EURUSD_20250910_16
EURUSD_setup_000092_202509102200,EURUSD,2025-09-10 22:00:00,3,BB+SR+ADX<20,15.248088390886434,neutral,bullish,2025-09-10 20:00:00,2025-09-10,,0.4127217418053895,EURUSD_20250910_22
EURUSD_setup_000093_202509110400,EURUSD,2025-09-11 04:00:00,3,BB+SR+ADX<20,13.50364286674024,neutral,bullish,2025-09-11 04:00:00,2025-09-11,,0.338487575967379,EURUSD_20250911_04
EURUSD_setup_000094_202509111000,EURUSD,2025-09-11 10:00:00,2,BB+ADX<20,19.94343908498167,neutral,bullish,2025-09-11 08:00:00,2025-09-11,,0.4570822063204132,EURUSD_20250911_10
EURUSD_setup_000095_202509120800,EURUSD,2025-09-12 08:00:00,2,BB+SR,20.394231943991606,neutral,bullish,2025-09-12 08:00:00,2025-09-12,,0.7510518993931774,EURUSD_20250912_08
EURUSD_setup_000096_202509121400,EURUSD,2025-09-12 14:00:00,3,BB+SR+ADX<20,16.662443475522135,neutral,bullish,2025-09-12 12:00:00,2025-09-12,,0.3983044342285902,EURUSD_20250912_14
EURUSD_setup_000097_202509122000,EURUSD,2025-09-12 20:00:00,3,BB+SR+ADX<20,13.596454949677902,neutral,bullish,2025-09-12 20:00:00,2025-09-12,,0.39805320445614606,EURUSD_20250912_20
EURUSD_setup_000098_202509150200,EURUSD,2025-09-15 02:00:00,4,BB+SR+ADX<20+ADX<13,9.92073437379443,neutral,bullish,2025-09-15 00:00:00,2025-09-15,,0.39821612817954277,EURUSD_20250915_02
EURUSD_setup_000099_202509150800,EURUSD,2025-09-15 08:00:00,4,BB+SR+ADX<20+ADX<13,9.91003603775343,bullish,bullish,2025-09-15 08:00:00,2025-09-15,,0.3680730693204367,EURUSD_20250915_08
EURUSD_setup_000100_202509160400,EURUSD,2025-09-16 04:00:00,2,BB+SR,22.709819340746023,bullish,bullish,2025-09-16 04:00:00,2025-09-16,,0.48316972928908436,EURUSD_20250916_04
EURUSD_setup_000101_202509171000,EURUSD,2025-09-17 10:00:00,2,BB+SR,36.19656656792744,bullish,bullish,2025-09-17 08:00:00,2025-09-17,,0.48243057139717993,EURUSD_20250917_10
EURUSD_setup_000102_202509171600,EURUSD,2025-09-17 16:00:00,2,BB+SR,27.306280297415945,bullish,bullish,2025-09-17 16:00:00,2025-09-17,,0.340004049676024,EURUSD_20250917_16
EURUSD_setup_000103_202509190800,EURUSD,2025-09-19 08:00:00,2,BB+SR,22.596419970103042,neutral,bullish,2025-09-19 08:00:00,2025-09-19,,0.6462255327109204,EURUSD_20250919_08
EURUSD_setup_000104_202509220500,EURUSD,2025-09-22 05:00:00,2,BB+SR,34.063628641857925,bearish,bullish,2025-09-22 04:00:00,2025-09-22,,0.36376957284762534,EURUSD_20250922_05
EURUSD_setup_000105_202509231100,EURUSD,2025-09-23 11:00:00,2,BB+SR,22.608509138160585,neutral,bullish,2025-09-23 08:00:00,2025-09-23,,0.4749224010719718,EURUSD_20250923_11
EURUSD_setup_000106_202509231700,EURUSD,2025-09-23 17:00:00,3,BB+SR+ADX<20,17.272402441252414,neutral,bullish,2025-09-23 16:00:00,2025-09-23,,0.35473902552596337,EURUSD_20250923_17
EURUSD_setup_000107_202509232300,EURUSD,2025-09-23 23:00:00,3,BB+SR+ADX<20,16.895184947082434,neutral,bullish,2025-09-23 20:00:00,2025-09-23,,0.34278459585272,EURUSD_20250923_23
EURUSD_setup_000108_202509240500,EURUSD,2025-09-24 05:00:00,3,BB+SR+ADX<20,13.774665497400761,neutral,bullish,2025-09-24 04:00:00,2025-09-24,,0.29073463471694005,EURUSD_20250924_05
EURUSD_setup_000109_202509250400,EURUSD,2025-09-25 04:00:00,2,BB+SR,37.2262666414128,neutral,bullish,2025-09-25 04:00:00,2025-09-25,,0.5139681918360786,EURUSD_20250925_04
EURUSD_setup_000110_202509251000,EURUSD,2025-09-25 10:00:00,2,BB+SR,35.98674319831162,neutral,bullish,2025-09-25 08:00:00,2025-09-25,,0.21708594049291724,EURUSD_20250925_10
EURUSD_setup_000111_202509260900,EURUSD,2025-09-26 09:00:00,2,BB+SR,41.78946070982272,bearish,neutral,2025-09-26 08:00:00,2025-09-26,,0.5540237365347378,EURUSD_20250926_09
EURUSD_setup_000112_202509261500,EURUSD,2025-09-26 15:00:00,2,BB+SR,33.60128988451715,bearish,neutral,2025-09-26 12:00:00,2025-09-26,,0.45334793170697124,EURUSD_20250926_15
EURUSD_setup_000113_202509292000,EURUSD,2025-09-29 20:00:00,2,BB+SR,28.55936865215679,neutral,bullish,2025-09-29 20:00:00,2025-09-29,,0.4272155946482898,EURUSD_20250929_20
EURUSD_setup_000114_202509300200,EURUSD,2025-09-30 02:00:00,2,BB+SR,22.343842094986076,neutral,bullish,2025-09-30 00:00:00,2025-09-30,,0.39924927486777156,EURUSD_20250930_02
EURUSD_setup_000115_202509300800,EURUSD,2025-09-30 08:00:00,2,BB+SR,21.979122218492815,neutral,bullish,2025-09-30 08:00:00,2025-09-30,,0.3598376902333378,EURUSD_20250930_08
EURUSD_setup_000116_202509301800,EURUSD,2025-09-30 18:00:00,2,SR+ADX<20,19.54486170267734,neutral,bullish,2025-09-30 16:00:00,2025-09-30,,0.4207693093932206,EURUSD_20250930_18
EURUSD_setup_000117_202510010000,EURUSD,2025-10-01 00:00:00,3,BB+SR+ADX<20,13.74628457942682,bullish,neutral,2025-10-01 00:00:00,2025-10-01,,0.3851528681959235,EURUSD_20251001_00
EURUSD_setup_000118_202510011900,EURUSD,2025-10-01 19:00:00,2,ADX<20+ADX<13,12.495399537396267,bullish,neutral,2025-10-01 16:00:00,2025-10-01,,0.5379323279426276,EURUSD_20251001_19
EURUSD_setup_000119_202510020100,EURUSD,2025-10-02 01:00:00,2,ADX<20+ADX<13,9.44771411398472,bullish,neutral,2025-10-02 00:00:00,2025-10-02,,0.5375519661963994,EURUSD_20251002_01
EURUSD_setup_000120_202510020700,EURUSD,2025-10-02 07:00:00,4,BB+ADX<20+ADX<13+ADX<9,8.793086619555066,bullish,neutral,2025-10-02 04:00:00,2025-10-02,,0.4536247425487953,EURUSD_20251002_07
EURUSD_setup_000121_202510021300,EURUSD,2025-10-02 13:00:00,4,BB+SR+ADX<20+ADX<13,11.814642283002053,neutral,neutral,2025-10-02 12:00:00,2025-10-02,,0.3147953830010468,EURUSD_20251002_13
EURUSD_setup_000122_202510030700,EURUSD,2025-10-03 07:00:00,2,BB+ADX<20,16.205556905634424,neutral,neutral,2025-10-03 04:00:00,2025-10-03,,0.6418342993522022,EURUSD_20251003_07
EURUSD_setup_000123_202510031300,EURUSD,2025-10-03 13:00:00,3,BB+SR+ADX<20,17.26863044074578,neutral,neutral,2025-10-03 12:00:00,2025-10-03,,0.275176990773483,EURUSD_20251003_13
EURUSD_setup_000124_202510031900,EURUSD,2025-10-03 19:00:00,2,BB+SR,20.353818597949907,neutral,neutral,2025-10-03 16:00:00,2025-10-03,,0.3747678994259203,EURUSD_20251003_19
EURUSD_setup_000125_202510060200,EURUSD,2025-10-06 02:00:00,2,BB+ADX<20,18.62361710617961,neutral,neutral,2025-10-06 00:00:00,2025-10-06,,0.44769628284171814,EURUSD_20251006_02
EURUSD_setup_000126_202510082000,EURUSD,2025-10-08 20:00:00,2,BB+SR,25.121945282259404,bearish,bearish,2025-10-08 20:00:00,2025-10-08,,0.47037173985949776,EURUSD_20251008_20
EURUSD_setup_000127_202510091200,EURUSD,2025-10-09 12:00:00,2,SR+ADX<20,18.736572996905497,bearish,bearish,2025-10-09 12:00:00,2025-10-09,,0.4287706851721096,EURUSD_20251009_12
